max_temp,min_temp,avg_temp,max_wind,total_precip,total_snow,avg_visibility,avg_humidity,condition,uv_index
36.5,19.8,27.2,11.2,0.0,0.0,10.0,31,7,9.0
37.0,20.4,27.5,14.0,0.0,0.0,10.0,23,7,9.0
36.6,20.6,27.5,12.6,0.0,0.0,10.0,21,7,9.0
36.4,20.8,27.4,11.2,0.0,0.0,10.0,26,7,9.0
36.4,20.2,27.5,12.6,0.0,0.0,10.0,29,7,9.0
38.7,21.1,28.4,11.9,0.0,0.0,10.0,25,7,9.0
38.3,20.2,27.9,12.2,0.0,0.0,10.0,29,7,9.0
38.0,20.5,27.6,14.4,0.0,0.0,10.0,33,7,9.0
38.0,19.6,27.4,14.8,0.0,0.0,10.0,31,7,9.0
38.3,20.7,28.4,14.8,0.0,0.0,10.0,26,7,9.0
38.9,21.0,28.6,15.5,0.0,0.0,10.0,28,7,9.0
39.1,21.3,28.8,16.6,0.0,0.0,10.0,25,7,9.0
39.2,21.2,28.7,16.9,0.0,0.0,10.0,25,7,9.0
38.5,21.4,28.7,15.8,0.0,0.0,10.0,26,7,9.0
37.9,20.0,27.5,25.2,0.0,0.0,10.0,34,7,9.0
37.2,19.6,28.0,18.7,0.0,0.0,10.0,30,7,9.0
37.9,22.3,29.1,18.0,0.0,0.0,10.0,25,7,9.0
38.7,22.4,29.2,15.5,0.0,0.0,10.0,28,7,9.0
38.9,22.1,29.0,20.5,0.0,0.0,10.0,32,7,9.0
39.1,22.6,29.8,15.8,0.0,0.0,10.0,32,7,9.0
38.6,22.3,29.1,15.5,0.0,0.0,10.0,30,7,9.0
39.2,20.9,28.2,29.2,0.0,0.0,10.0,33,7,9.0
38.1,20.7,27.4,29.9,0.0,0.0,10.0,43,7,9.0
36.8,20.0,26.2,29.5,0.7,0.0,9.9,54,8,8.0
36.4,18.8,26.1,25.9,0.0,0.0,10.0,55,5,9.0
33.9,19.3,25.4,28.4,0.6,0.0,10.0,60,6,7.0
35.6,18.1,25.3,30.2,0.0,0.0,10.0,55,7,9.0
34.7,17.6,24.7,32.0,0.0,0.0,10.0,55,5,8.0
35.3,17.2,24.8,28.1,0.0,0.0,10.0,53,5,9.0
37.2,17.8,26.2,25.6,0.0,0.0,10.0,49,7,9.0
37.4,18.9,26.8,22.7,0.0,0.0,10.0,43,7,9.0
38.7,19.7,27.8,19.1,0.0,0.0,10.0,48,7,9.0
38.8,20.9,27.8,29.5,0.0,0.0,10.0,48,7,9.0
37.5,18.1,26.1,26.6,0.0,0.0,10.0,40,7,9.0
38.1,16.6,25.6,25.2,0.0,0.0,10.0,40,7,9.0
39.3,16.4,26.3,28.4,0.0,0.0,10.0,40,7,9.0
38.4,19.3,27.0,27.7,0.0,0.0,10.0,37,7,9.0
38.4,16.8,25.8,29.5,0.0,0.0,10.0,48,7,9.0
37.0,16.5,25.5,27.0,0.0,0.0,10.0,52,7,9.0
36.5,18.2,26.2,22.6,0.0,0.0,9.7,51,5,9.0
36.7,18.3,26.5,25.6,0.0,0.0,10.0,45,7,9.0
36.9,17.7,26.2,22.7,0.0,0.0,10.0,50,7,9.0
38.1,19.5,27.2,22.1,0.0,0.0,10.0,44,7,9.0
38.7,20.8,28.4,22.7,0.0,0.0,10.0,45,7,9.0
38.8,22.2,29.5,22.0,0.0,0.0,10.0,44,7,9.0
37.1,22.9,28.0,21.6,22.2,0.0,9.5,53,0,8.0
35.1,23.3,27.8,15.8,1.6,0.0,9.9,52,6,8.0
36.1,24.0,29.1,16.1,0.0,0.0,10.0,49,5,9.0
